iter	Logloss
0	0.6635871432
1	0.6345710185
2	0.6075777035
3	0.5829112731
4	0.5603501809
5	0.5425001685
6	0.5251738325
7	0.5083662764
8	0.4932305018
9	0.4788871879
10	0.4669812497
11	0.4550888621
12	0.4459252239
13	0.4359939632
14	0.4265546467
15	0.4181317239
16	0.4102986867
17	0.4031175903
18	0.3964138932
19	0.3908308489
20	0.386232452
21	0.3812360811
22	0.376666859
23	0.3716697622
24	0.3676423718
25	0.3640343894
26	0.360797289
27	0.3572650762
28	0.3539290974
29	0.3510742733
30	0.3479381533
31	0.3454804468
32	0.342820056
33	0.3405583771
34	0.3379900254
35	0.3362333763
36	0.3341787941
37	0.3318202436
38	0.329693436
39	0.3280028728
40	0.3267709817
41	0.3257493854
42	0.3240742209
43	0.3229466861
44	0.321475169
45	0.3198898633
46	0.3182579273
47	0.3169142714
48	0.3160209158
49	0.3149157804
50	0.313659668
51	0.3123634443
52	0.3113099687
53	0.3099012233
54	0.3090770043
55	0.3082618571
56	0.3074481547
57	0.306545789
58	0.3058682484
59	0.3052319579
60	0.3046354417
61	0.3040668573
62	0.3034478705
63	0.3028350541
64	0.3022762839
65	0.3015221861
66	0.3010704102
67	0.300518935
68	0.2998361493
69	0.2988870559
70	0.2983335927
71	0.2973387823
72	0.2967918904
73	0.2962652605
74	0.295599342
75	0.294897758
76	0.2942678181
77	0.2938504219
78	0.2933319552
79	0.2928294637
80	0.2924629444
81	0.2915629937
82	0.2909315332
83	0.2904047302
84	0.2900238488
85	0.2891841196
86	0.2887098943
87	0.2883171157
88	0.2878824466
89	0.2871735559
90	0.2867540293
91	0.2862455548
92	0.2858502948
93	0.2855321946
94	0.2849020507
95	0.2843058477
96	0.2839223473
97	0.2836493094
98	0.2831558873
99	0.282884408
100	0.2823892351
101	0.2819233652
102	0.2814887436
103	0.2809852344
104	0.2806818616
105	0.2802411952
106	0.2797626287
107	0.2794079377
108	0.2789343412
109	0.2786234054
110	0.2782404102
111	0.2779135467
112	0.277591321
113	0.277249851
114	0.2768855285
115	0.2764949609
116	0.2761841627
117	0.2755454334
118	0.2750121491
119	0.2747001482
120	0.2743084229
121	0.2739986828
122	0.2736993073
123	0.2732963277
124	0.2730123937
125	0.2726741786
126	0.2723244767
127	0.272127327
128	0.2718655814
129	0.2715103401
130	0.2711634731
131	0.2707682486
132	0.270492855
133	0.2702025964
134	0.269956342
135	0.2697154444
136	0.2692367426
137	0.2688534034
138	0.2685786598
139	0.2683291317
140	0.2679995328
141	0.2676091313
142	0.267109591
143	0.266903519
144	0.2665827096
145	0.2663532893
146	0.2660825264
147	0.2657751088
148	0.2655174388
149	0.2651969995
150	0.2649496064
151	0.2646852987
152	0.2644269692
153	0.2641171769
154	0.263814696
155	0.2636371892
156	0.2632995696
157	0.2629457683
158	0.2625653257
159	0.262203283
160	0.2618407444
161	0.2614649967
162	0.2612444109
163	0.2609768578
164	0.2607283284
165	0.2604802829
